序号	名称        	上映时间	豆瓣评分	豆瓣链接                        	
149	萤火之森      	2011	8.7	https://movie.douban.com/subject/5989818/	
150	人工智能      	2001	8.6	https://movie.douban.com/subject/1302827/	
151	我是山姆      	2001	8.8	https://movie.douban.com/subject/1306861/	
152	7号房的礼物    	2013	8.7	https://movie.douban.com/subject/10777687/	
153	哈利·波特与死亡圣器(下)	2011	8.6	https://movie.douban.com/subject/3011235/	
154	浪潮        	2008	8.7	https://movie.douban.com/subject/2297265/	
155	花样年华      	2000	8.5	https://movie.douban.com/subject/1291557/	
156	香水        	2006	8.4	https://movie.douban.com/subject/1760622/	
157	冰川时代      	2002	8.4	https://movie.douban.com/subject/1291578/	
158	撞车        	2004	8.6	https://movie.douban.com/subject/1388216/	
159	朗读者       	2008	8.5	https://movie.douban.com/subject/2213597/	
160	追随        	1998	8.9	https://movie.douban.com/subject/1397546/	
161	一次别离      	2011	8.7	https://movie.douban.com/subject/5964718/	
162	荒蛮故事      	2014	8.7	https://movie.douban.com/subject/24750126/	
163	罗生门       	1950	8.7	https://movie.douban.com/subject/1291879/	
164	心迷宫       	2014	8.6	https://movie.douban.com/subject/25917973/	
165	时空恋旅人     	2013	8.6	https://movie.douban.com/subject/10577869/	
166	唐伯虎点秋香    	1993	8.4	https://movie.douban.com/subject/1306249/	
167	超能陆战队     	2014	8.6	https://movie.douban.com/subject/11026735/	
168	战争之王      	2005	8.5	https://movie.douban.com/subject/1419936/	
169	梦之安魂曲     	2000	8.7	https://movie.douban.com/subject/1292270/	
170	可可西里      	2004	8.6	https://movie.douban.com/subject/1308857/	
171	碧海蓝天      	1988	8.7	https://movie.douban.com/subject/1300960/	
172	小森林 冬春篇   	2015	8.9	https://movie.douban.com/subject/25814707/	
173	地球上的星星    	2007	8.8	https://movie.douban.com/subject/2363506/	
174	蝙蝠侠：黑暗骑士崛起	2012	8.5	https://movie.douban.com/subject/3395373/	
175	秒速5厘米     	2007	8.3	https://movie.douban.com/subject/2043546/	
176	海盗电台      	2009	8.6	https://movie.douban.com/subject/3007773/	
177	谍影重重2     	2004	8.5	https://movie.douban.com/subject/1308767/	
178	谍影重重      	2002	8.5	https://movie.douban.com/subject/1304102/	
179	恐怖游轮      	2009	8.3	https://movie.douban.com/subject/3011051/	
180	阿飞正传      	1990	8.5	https://movie.douban.com/subject/1305690/	
181	未麻的部屋     	1997	8.8	https://movie.douban.com/subject/1395091/	
182	爆裂鼓手      	2014	8.6	https://movie.douban.com/subject/25773932/	
183	达拉斯买家俱乐部  	2013	8.6	https://movie.douban.com/subject/1793929/	
184	牯岭街少年杀人事件 	1991	8.7	https://movie.douban.com/subject/1292329/	
185	惊魂记       	1960	8.8	https://movie.douban.com/subject/1293181/	
186	魔女宅急便     	1989	8.4	https://movie.douban.com/subject/1307811/	
187	再次出发之纽约遇见你	2013	8.5	https://movie.douban.com/subject/6874403/	
188	绿里奇迹      	1999	8.7	https://movie.douban.com/subject/1300374/	
189	迁徙的鸟      	2001	9.1	https://movie.douban.com/subject/1292281/	
190	勇闯夺命岛     	1996	8.5	https://movie.douban.com/subject/1292728/	
191	海边的曼彻斯特   	2016	8.6	https://movie.douban.com/subject/25980443/	
192	荒野生存      	2007	8.6	https://movie.douban.com/subject/1905462/	
193	东京物语      	1953	9.2	https://movie.douban.com/subject/1291568/	
194	被解救的姜戈    	2012	8.5	https://movie.douban.com/subject/6307447/	
195	末路狂花      	1991	8.7	https://movie.douban.com/subject/1291992/	
196	卡萨布兰卡     	1942	8.6	https://movie.douban.com/subject/1296753/	
197	燕尾蝶       	1996	8.6	https://movie.douban.com/subject/1307793/	
198	终结者2：审判日  	1991	8.5	https://movie.douban.com/subject/1291844/	
199	青蛇        	1993	8.4	https://movie.douban.com/subject/1303394/	
200	这个男人来自地球  	2007	8.5	https://movie.douban.com/subject/2300586/	
201	忠犬八公物语    	1987	9.0	https://movie.douban.com/subject/1959195/	
202	变脸        	1997	8.4	https://movie.douban.com/subject/1292659/	
203	英国病人      	1996	8.4	https://movie.douban.com/subject/1291853/	
204	哪吒闹海      	1979	8.8	https://movie.douban.com/subject/1307315/	
205	E.T. 外星人  	1982	8.5	https://movie.douban.com/subject/1294638/	
206	源代码       	2011	8.3	https://movie.douban.com/subject/3075287/	
207	新龙门客栈     	1992	8.4	https://movie.douban.com/subject/1292287/	
208	黄金三镖客     	1966	9.1	https://movie.douban.com/subject/1401118/	
209	发条橙       	1971	8.4	https://movie.douban.com/subject/1292233/	
210	黑客帝国3：矩阵革命	2003	8.5	https://movie.douban.com/subject/1302467/	
211	叫我第一名     	2008	8.6	https://movie.douban.com/subject/4798888/	
212	美国丽人      	1999	8.4	https://movie.douban.com/subject/1292062/	
213	城市之光      	1931	9.2	https://movie.douban.com/subject/1293908/	
214	穆赫兰道      	2001	8.3	https://movie.douban.com/subject/1292217/	
215	非常嫌疑犯     	1995	8.6	https://movie.douban.com/subject/1292214/	
216	无耻混蛋      	2009	8.4	https://movie.douban.com/subject/1438652/	
217	上帝也疯狂     	1980	8.6	https://movie.douban.com/subject/1297478/	
218	初恋这件小事    	2010	8.2	https://movie.douban.com/subject/4739952/	
219	勇士        	2011	8.9	https://movie.douban.com/subject/3217169/	
220	蓝色大门      	2002	8.3	https://movie.douban.com/subject/1308575/	
221	爱·回家      	2002	9.0	https://movie.douban.com/subject/1299361/	
222	模仿游戏      	2014	8.5	https://movie.douban.com/subject/10463953/	
223	无敌破坏王     	2012	8.6	https://movie.douban.com/subject/6534248/	
224	大卫·戈尔的一生  	2003	8.7	https://movie.douban.com/subject/1305725/	
225	曾经        	2007	8.3	https://movie.douban.com/subject/2053515/	
226	血钻        	2006	8.5	https://movie.douban.com/subject/1428175/	
227	麦兜故事      	2001	8.5	https://movie.douban.com/subject/1302476/	
228	国王的演讲     	2010	8.3	https://movie.douban.com/subject/4023638/	
229	暖暖内含光     	2004	8.4	https://movie.douban.com/subject/1308777/	
230	爱在午夜降临前   	2013	8.7	https://movie.douban.com/subject/10808442/	
231	枪火        	1999	8.6	https://movie.douban.com/subject/1300741/	
232	蝴蝶        	2002	8.6	https://movie.douban.com/subject/1292056/	
233	遗愿清单      	2007	8.5	https://movie.douban.com/subject/1867345/	
234	疯狂的石头     	2006	8.2	https://movie.douban.com/subject/1862151/	
235	巴黎淘气帮     	2009	8.6	https://movie.douban.com/subject/3157605/	
236	千钧一发      	1997	8.7	https://movie.douban.com/subject/1300117/	
237	与狼共舞      	1990	8.9	https://movie.douban.com/subject/1293764/	
238	荒岛余生      	2000	8.4	https://movie.douban.com/subject/1298653/	
239	偷拐抢骗      	2000	8.5	https://movie.douban.com/subject/1301171/	
240	月球        	2009	8.5	https://movie.douban.com/subject/3073124/	
241	夜访吸血鬼     	1994	8.3	https://movie.douban.com/subject/1299327/	
242	我爱你       	2011	9.0	https://movie.douban.com/subject/5908478/	
243	寿司之神      	2011	8.8	https://movie.douban.com/subject/6146955/	
244	爱在暹罗      	2007	8.3	https://movie.douban.com/subject/2365260/	
245	中央车站      	1998	8.7	https://movie.douban.com/subject/1292218/	
246	廊桥遗梦      	1995	8.5	https://movie.douban.com/subject/1293929/	
247	房间        	2015	8.8	https://movie.douban.com/subject/25724855/	
248	头脑特工队     	2015	8.7	https://movie.douban.com/subject/10533913/	
249	彗星来的那一夜   	2013	8.4	https://movie.douban.com/subject/25807345/	
250	罪恶之城      	2005	8.4	https://movie.douban.com/subject/1309027/	
